Date,Open,High,Low,Close,Volume,Adj. Close*
12-Sep-03,9456.88,9517.37,9348.59,9471.55,1236700032,9471.55
11-Sep-03,9415.05,9540.60,9374.49,9459.76,1335900032,9459.76
10-Sep-03,9504.88,9545.51,9373.08,9420.46,1582099968,9420.46
9-Sep-03,9584.92,9617.02,9459.85,9507.20,1414800000,9507.20
8-Sep-03,9503.41,9638.57,9492.25,9586.29,1299299968,9586.29
5-Sep-03,9589.52,9602.22,9441.93,9503.34,1465200000,9503.34
4-Sep-03,9569.09,9661.80,9492.74,9587.90,1453900032,9587.90
3-Sep-03,9521.86,9632.75,9465.72,9568.46,1675600000,9568.46
2-Sep-03,9416.67,9563.83,9357.44,9523.27,1470499968,9523.27
29-Aug-03,9373.33,9444.25,9320.52,9415.82,945100032,9415.82
28-Aug-03,9334.35,9415.68,9246.48,9374.21,1165200000,9374.21
27-Aug-03,9339.82,9387.82,9280.03,9333.79,1051400000,9333.79
26-Aug-03,9316.03,9372.45,9203.54,9340.45,1178700032,9340.45
25-Aug-03,9349.44,9381.51,9242.56,9317.64,971699968,9317.64
22-Aug-03,9436.04,9535.97,9323.26,9348.87,1308899968,9348.87
21-Aug-03,9399.96,9517.37,9345.71,9423.68,1407100032,9423.68
20-Aug-03,9420.13,9454.49,9324.03,9397.51,1210800000,9397.51
19-Aug-03,9412.17,9490.60,9315.25,9428.90,1300600064,9428.90
18-Aug-03,9320.66,9466.79,9309.16,9412.45,1127600000,9412.45
15-Aug-03,9308.52,9360.27,9253.20,9321.69,636369984,9321.69
14-Aug-03,9272.25,9356.63,9193.33,9310.56,1186800000,9310.56
